2024.07.29 18:56:52 INFO  Started: Metals version 1.3.4 in folders '/home/seeker/Develop/ysyx-workbench/ysyxSoC' for client Visual Studio Code 1.91.1.
SLF4J(W): Class path contains multiple SLF4J providers.
SLF4J(W): Found provider [scribe.slf4j.ScribeServiceProvider@42a9d40b]
SLF4J(W): Found provider [ch.qos.logback.classic.spi.LogbackServiceProvider@8a4caca]
SLF4J(W): See https://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J(I): Actual provider is of type [scribe.slf4j.ScribeServiceProvider@42a9d40b]
2024.07.29 18:56:53 WARN  Flyway upgrade recommended: H2 2.3.230 is newer than this version of Flyway and support has not been tested. The latest supported version of H2 is 2.2.220.
2024.07.29 18:56:57 INFO  running '/home/seeker/Develop/ysyx-workbench/ysyxSoC/.metals/millw --import ivy:com.lihaoyi::mill-contrib-bloop: mill.contrib.bloop.Bloop/install'
2024.07.29 18:56:57 INFO  No mill version specified.
2024.07.29 18:56:57 INFO  You should provide a version via '.mill-version' file or --mill-version option.
2024.07.29 18:56:57 INFO  Retrieving latest mill version ...
2024.07.29 18:57:07 INFO  Falling back to hardcoded mill version 0.11.4
2024.07.29 18:57:07 INFO  Downloading mill 0.11.4 from https://repo1.maven.org/maven2/com/lihaoyi/mill-dist/0.11.4/mill-dist-0.11.4.jar ...
2024.07.29 18:57:07 INFO    % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
2024.07.29 18:57:07 INFO                                   Dload  Upload   Total   Spent    Left  Speed
2024.07.29 18:57:07 INFO  
2024.07.29 18:57:09 INFO    0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0
2024.07.29 18:57:09 INFO    0     0    0     0    0     0      0      0 --:--:--  0:00:01 --:--:--     0
2024.07.29 18:57:10 INFO    0 58.7M    0  1378    0     0    694      0 24:38:19  0:00:01 24:38:18   694
2024.07.29 18:57:10 INFO    0 58.7M    0 72841    0     0  24437      0  0:41:59  0:00:02  0:41:57 24435
2024.07.29 18:57:12 INFO    0 58.7M    0  148k    0     0  39762      0  0:25:48  0:00:03  0:25:45 39760
2024.07.29 18:57:13 INFO    0 58.7M    0  218k    0     0  46262      0  0:22:10  0:00:04  0:22:06 46261
2024.07.29 18:57:14 INFO    0 58.7M    0  255k    0     0  44760      0  0:22:55  0:00:05  0:22:50 55043
2024.07.29 18:57:14 INFO    0 58.7M    0  294k    0     0  42793      0  0:23:58  0:00:07  0:23:51 59283
2024.07.29 18:57:16 INFO    0 58.7M    0  309k    0     0  39368      0  0:26:03  0:00:08  0:25:55 48146
2024.07.29 18:57:17 INFO    0 58.7M    0  324k    0     0  37030      0  0:27:42  0:00:08  0:27:34 35000
2024.07.29 18:57:17 INFO    0 58.7M    0  329k    0     0  33706      0  0:30:26  0:00:10  0:30:16 22042
2024.07.29 18:57:20 INFO    0 58.7M    0  335k    0     0  31417      0  0:32:39  0:00:10  0:32:29 16133
2024.07.29 18:57:20 INFO    0 58.7M    0  350k    0     0  29761      0  0:34:28  0:00:12  0:34:16 11423
2024.07.29 18:57:22 INFO    0 58.7M    0  361k    0     0  28680      0  0:35:46  0:00:12  0:35:34 10939
2024.07.29 18:57:22 INFO    0 58.7M    0  376k    0     0  26917      0  0:38:06  0:00:14  0:37:52  9936
2024.07.29 18:57:23 INFO    0 58.7M    0  381k    0     0  26204      0  0:39:09  0:00:14  0:38:55 10843
2024.07.29 18:57:23 INFO    0 58.7M    0  395k    0     0  25382      0  0:40:25  0:00:15  0:40:10 12240
2024.07.29 18:57:25 INFO    0 58.7M    0  414k    0     0  25231      0  0:40:39  0:00:16  0:40:23 13759
2024.07.29 18:57:25 INFO    0 58.7M    0  433k    0     0  24746      0  0:41:27  0:00:17  0:41:10 14668
2024.07.29 18:57:28 INFO    0 58.7M    0  460k    0     0  25057      0  0:40:56  0:00:18  0:40:38 19151
2024.07.29 18:57:28 INFO    0 58.7M    0  494k    0     0  25223      0  0:40:40  0:00:20  0:40:20 22395
2024.07.29 18:57:30 INFO    0 58.7M    0  512k    0     0  25043      0  0:40:58  0:00:20  0:40:38 23962
2024.07.29 18:57:30 INFO    0 58.7M    0  550k    0     0  25495      0  0:40:14  0:00:22  0:39:52 26335
2024.07.29 18:57:31 INFO    0 58.7M    0  589k    0     0  26303      0  0:39:00  0:00:22  0:38:38 31865
2024.07.29 18:57:33 INFO    1 58.7M    1  639k    0     0  27375      0  0:37:28  0:00:23  0:37:05 35966
2024.07.29 18:57:33 INFO    1 58.7M    1  692k    0     0  28071      0  0:36:32  0:00:25  0:36:07 39160
2024.07.29 18:57:34 INFO    1 58.7M    1  709k    0     0  28130      0  0:36:28  0:00:25  0:36:03 41360
2024.07.29 18:57:35 INFO    1 58.7M    1  739k    0     0  28177      0  0:36:24  0:00:26  0:35:58 40595
2024.07.29 18:57:35 INFO    1 58.7M    1  775k    0     0  28431      0  0:36:05  0:00:27  0:35:38 38296
2024.07.29 18:57:37 INFO    1 58.7M    1  809k    0     0  28692      0  0:35:45  0:00:28  0:35:17 35006
2024.07.29 18:57:37 INFO    1 58.7M    1  851k    0     0  29220      0  0:35:06  0:00:29  0:34:37 35546
2024.07.29 18:57:39 INFO    1 58.7M    1  885k    0     0  29420      0  0:34:52  0:00:30  0:34:22 36106
2024.07.29 18:57:41 INFO    1 58.7M    1  929k    0     0  29897      0  0:34:18  0:00:31  0:33:47 39263
2024.07.29 18:57:41 INFO    1 58.7M    1  959k    0     0  29534      0  0:34:44  0:00:33  0:34:11 35314
2024.07.29 18:57:42 INFO    1 58.7M    1  979k    0     0  29617      0  0:34:38  0:00:33  0:34:05 34984
2024.07.29 18:57:43 INFO    1 58.7M    1 1017k    0     0  29917      0  0:34:17  0:00:34  0:33:43 34069
2024.07.29 18:57:43 INFO    1 58.7M    1 1052k    0     0  30014      0  0:34:10  0:00:35  0:33:35 33604
2024.07.29 18:57:45 INFO    1 58.7M    1 1080k    0     0  29999      0  0:34:11  0:00:36  0:33:35 30643
2024.07.29 18:57:47 INFO    1 58.7M    1 1118k    0     0  30232      0  0:33:56  0:00:37  0:33:19 35250
2024.07.29 18:57:47 INFO    1 58.7M    1 1155k    0     0  30265      0  0:33:53  0:00:39  0:33:14 34474
2024.07.29 18:57:48 INFO    1 58.7M    1 1179k    0     0  30267      0  0:33:53  0:00:39  0:33:14 32679
2024.07.29 18:57:48 INFO    2 58.7M    2 1206k    0     0  30115      0  0:34:04  0:00:41  0:33:23 30826
2024.07.29 18:57:51 INFO    2 58.7M    2 1229k    0     0  30028      0  0:34:10  0:00:41  0:33:29 30246
2024.07.29 18:57:51 INFO    2 58.7M    2 1265k    0     0  30007      0  0:34:11  0:00:43  0:33:28 28405
2024.07.29 18:57:53 INFO    2 58.7M    2 1295k    0     0  30078      0  0:34:06  0:00:44  0:33:22 28617
2024.07.29 18:57:53 INFO    2 58.7M    2 1308k    0     0  29707      0  0:34:32  0:00:45  0:33:47 25419
2024.07.29 18:57:54 INFO    2 58.7M    2 1328k    0     0  29514      0  0:34:45  0:00:46  0:33:59 24629
2024.07.29 18:57:55 INFO    2 58.7M    2 1355k    0     0  29631      0  0:34:37  0:00:46  0:33:51 26226
2024.07.29 18:57:55 INFO    2 58.7M    2 1390k    0     0  29673      0  0:34:34  0:00:47  0:33:47 26669
2024.07.29 18:57:57 INFO    2 58.7M    2 1428k    0     0  29907      0  0:34:18  0:00:48  0:33:30 28342
2024.07.29 18:57:57 INFO    2 58.7M    2 1449k    0     0  29650      0  0:34:36  0:00:50  0:33:46 29126
2024.07.29 18:58:00 INFO    2 58.7M    2 1461k    0     0  29366      0  0:34:56  0:00:50  0:34:06 27963
2024.07.29 18:58:00 INFO    2 58.7M    2 1479k    0     0  28967      0  0:35:25  0:00:52  0:34:33 23267
2024.07.29 18:58:01 INFO    2 58.7M    2 1483k    0     0  28709      0  0:35:44  0:00:52  0:34:52 19275
2024.07.29 18:58:01 INFO    2 58.7M    2 1491k    0     0  28317      0  0:36:13  0:00:53  0:35:20 12796
2024.07.29 18:58:04 INFO    2 58.7M    2 1503k    0     0  28076      0  0:36:32  0:00:54  0:35:38 11646
2024.07.29 18:58:05 INFO    2 58.7M    2 1525k    0     0  27860      0  0:36:49  0:00:56  0:35:53 12831
2024.07.29 18:58:05 INFO    2 58.7M    2 1535k    0     0  27530      0  0:37:16  0:00:57  0:36:19 11907
2024.07.29 18:58:06 INFO    2 58.7M    2 1545k    0     0  27284      0  0:37:36  0:00:58  0:36:38 12546
2024.07.29 18:58:06 INFO    2 58.7M    2 1563k    0     0  27112      0  0:37:50  0:00:59  0:36:51 14425
2024.07.29 18:58:08 INFO    2 58.7M    2 1578k    0     0  26933      0  0:38:05  0:01:00  0:37:05 14812
2024.07.29 18:58:09 INFO    2 58.7M    2 1597k    0     0  26868      0  0:38:11  0:01:00  0:37:11 15320
2024.07.29 18:58:09 INFO    2 58.7M    2 1623k    0     0  26849      0  0:38:12  0:01:01  0:37:11 18778
2024.07.29 18:58:12 INFO    2 58.7M    2 1650k    0     0  26885      0  0:38:09  0:01:02  0:37:07 22118
2024.07.29 18:58:13 INFO    2 58.7M    2 1664k    0     0  26603      0  0:38:33  0:01:04  0:37:29 20610
2024.07.29 18:58:13 INFO    2 58.7M    2 1685k    0     0  26484      0  0:38:44  0:01:05  0:37:39 21259
2024.07.29 18:58:15 INFO    2 58.7M    2 1694k    0     0  26352      0  0:38:55  0:01:05  0:37:50 20017
2024.07.29 18:58:15 INFO    2 58.7M    2 1712k    0     0  26115      0  0:39:17  0:01:07  0:38:10 17406
2024.07.29 18:58:16 INFO    2 58.7M    2 1728k    0     0  26001      0  0:39:27  0:01:08  0:38:19 15299
